date,country,region,variant,daily_new_cases,daily_deaths,daily_recovered,active_cases,tests_conducted,positivity_rate,hospitalization_rate,icu_patients,vaccination_rate,stringency_index,reproduction_number
23-10-2020,Germany,Europe,Original,8,0,7,125,96,0.1076,0.0997,2,,38.81,0.724
05-05-2022,Germany,Europe,Omicron BA.2,71,0,69,1154,923,0.0622,0.056,14,0.6815,,1.074
30-07-2020,France,Europe,Original,1,0,0,11,24,0.0398,0.1793,0,0,71.48,0.4
10-07-2021,Australia,Oceania,Delta,1,0,0,12,20,0.0461,0.15,0,0.2634,78.43,
04-10-2022,Germany,Europe,Omicron BA.2,4,0,3,51,48,0.0772,0.0228,0,0.8912,17.69,1.741
18-08-2020,Germany,Europe,Original,3,0,2,34,39,0.0752,0.1683,1,0,44.32,0.41
12-03-2020,Argentina,South America,Original,14,0,12,158,126,0.1188,0.1118,,0,71.39,0.4
28-08-2020,Colombia,South America,Original,1,0,0,11,8,0.126,0.2054,0,0,52.55,0.597
28-12-2020,Argentina,South America,Alpha,7,0,6,104,42,0.1588,0.1259,3,0,50.13,0.484
24-07-2022,Germany,Europe,Omicron BA.2,4,0,,58,72,0.0543,0.0388,0,0.773,17.24,1.38
01-06-2020,Mexico,North America,Original,5,0,4,56,40,0.1273,0.1703,1,0,75.84,0.4
24-04-2021,Pakistan,Asia,Delta,96,2,88,985,384,0.2348,0.1325,30,,79.46,0.502
09-03-2022,USA,North America,Omicron,31,0,,429,434,0.0669,0.0707,6,0.5878,24,1.709
13-06-2020,Argentina,South America,Original,1,0,0,11,10,0.0998,0.1032,,,66.8,0.4
21-08-2020,Argentina,South America,Original,1,0,0,17,6,0.1618,0.1023,0,0,32.12,0.501
01-03-2020,Canada,North America,Original,11,0,10,173,,,0.0945,4,,79.02,0.4
01-11-2022,Spain,Europe,Omicron BA.2,-5,0,,52,120,0.0543,0.032,0,0.92,15.89,
02-05-2022,Russia,Europe,Omicron BA.2,6,0,,85,36,0.1699,,1,0.4504,40.29,1.009
29-08-2020,Japan,Asia,Original,5,0,4,69,70,0.0742,0.1277,2,,51.38,0.55
29-11-2021,Colombia,South America,Omicron,6,0,5,78,42,0.148,0.0706,,0.275,27.48,1.397
05-06-2020,India,Asia,Original,72,1,66,756,576,0.1242,0.1878,,,58.43,0.529
20-10-2021,Mexico,North America,Omicron,2,0,1,23,22,0.0832,0.0779,,0.2597,61.12,1.036
31-03-2021,Mexico,North America,Alpha,13,1,11,133,78,0.1649,,4,0.0703,82.81,0.4
05-02-2020,Italy,Europe,Original,3,0,2,33,,,0.1964,1,0,6.73,1.299
01-10-2020,Germany,Europe,Original,3,0,2,39,69,0.0548,0.1069,1,0,31.23,0.574
11-03-2020,South Korea,Asia,Original,1,0,0,13,13,0.083,0.1061,0,0,70.18,0.4
05-11-2021,Germany,Europe,Delta,9,0,8,89,108,0.0834,0.1031,2,0.4332,61.41,0.623
09-02-2020,South Korea,Asia,Original,4,0,3,66,,,0.1616,1,0,9.54,1.142
24-05-2020,France,Europe,Original,3,0,2,37,,,0.1956,2,0,66.53,0.41
06-08-2020,Turkey,Asia,Original,1,0,0,11,9,0.1096,0.0904,,0,,0.443
17-03-2021,Turkey,Asia,Alpha,8,0,7,126,72,0.105,0.118,3,0.047,62.42,0.4
02-08-2021,Pakistan,Asia,Delta,56,2,52,825,224,0.2492,0.15,20,0.106,80.01,0.4
14-12-2020,Argentina,South America,Alpha,1,0,0,11,7,0.1409,0.1308,0,0,70.66,0.4
04-11-2022,Colombia,South America,Omicron BA.2,2,0,1,28,20,0.0982,0.0597,0,0.6106,41.08,
18-05-2022,Turkey,Asia,Omicron BA.2,2,0,,28,22,0.0706,0.0706,,0.441,11.8,1.598
09-12-2020,Germany,Europe,Alpha,64,1,60,1066,1472,0.0337,0.195,55,0,57.13,0.562
22-04-2022,South Korea,Asia,Omicron BA.2,6,0,5,74,102,0.0597,0.0431,0,0.6738,41.68,1.213
29-01-2021,UK,Europe,Alpha,4,0,3,42,80,0.04,,1,,69.98,0.428
17-10-2022,France,Europe,Omicron BA.2,6,0,5,89,78,0.0736,0.0275,0,0.9088,21.45,1.674
26-06-2021,Germany,Europe,Delta,9,0,8,139,180,0.0716,0.1119,4,0.2471,74,0.519
22-04-2021,Canada,North America,Delta,5,0,4,72,90,0.0551,0.2395,2,0.1535,66.03,0.534
15-05-2020,UK,Europe,Original,1,0,0,11,18,0.0707,0.169,0,,55.3,0.613
18-09-2022,Russia,Europe,Omicron BA.2,2,0,,21,18,0.1046,0.0672,,0.5584,25.61,1.563
28-10-2021,Mexico,North America,Omicron,90,2,86,1126,720,0.1265,0.0529,16,0.279,52.66,0.792
09-03-2022,Colombia,South America,Omicron BA.2,2,0,1,29,22,0.0917,0.0483,0,0.3728,,1.747
09-03-2022,Russia,Europe,Omicron,-176,1,,3126,1760,0.0976,,74,0.3855,33.15,1.109
29-05-2021,Canada,North America,Delta,2,0,1,20,46,0.0446,0.2203,1,0.2041,68.93,0.675
08-04-2021,Turkey,Asia,Alpha,14,0,13,251,126,0.1203,0.1776,10,0.0754,64.87,0.4
15-03-2021,USA,North America,Alpha,8,0,7,81,176,0.0525,,1,0.0929,74.4,
19-02-2020,Mexico,North America,Original,11,1,9,130,99,0.1035,0.1012,,0,18.64,0.923
21-07-2020,Spain,Europe,Original,3,0,2,46,60,0.0617,0.1486,1,0,71.71,0.4
12-11-2021,Argentina,South America,Omicron,30,0,28,496,330,0.0841,0.0581,,0.2915,46.91,1.028
20-07-2020,Colombia,South America,Original,1,0,0,14,6,0.1587,0.1681,0,0,73.49,0.4
18-07-2020,Australia,Oceania,Original,1,0,0,17,16,0.0772,0.1834,0,0,51.75,
18-04-2021,USA,North America,Delta,22,0,20,371,484,0.0564,0.1748,13,0.1326,62.42,0.68
28-06-2022,South Korea,Asia,Omicron BA.2,5,0,,87,65,0.0737,0.0336,0,0.7442,22.7,1.924
21-01-2022,South Korea,Asia,Omicron,3,0,2,52,39,0.0879,0.057,0,0.5323,29.77,1.48
26-11-2021,Spain,Europe,Omicron,11,0,10,173,231,0.0535,,2,0.4594,22.59,1.926
27-04-2021,Turkey,Asia,Delta,6,0,5,97,54,0.1343,0.2013,3,0.105,69.28,0.7
28-01-2020,Mexico,North America,Original,1,0,0,11,,,,,0,21.67,0.834
22-09-2022,South Korea,Asia,Omicron BA.2,2,0,,31,26,0.0867,0.0254,0,0.8813,,2.01
10-03-2022,Pakistan,Asia,Omicron,57,0,54,621,228,0.2421,0.0901,,0.2111,28.82,1.795
19-08-2020,Germany,Europe,Original,22,0,20,375,440,0.0393,0.1775,19,0,49.86,0.631
15-02-2021,Mexico,North America,Alpha,7,0,6,73,70,0.0932,,2,,80.08,0.4
10-01-2021,Japan,Asia,Alpha,6,0,5,94,102,0.0473,,5,0.0017,,0.596
13-10-2020,Argentina,South America,Original,1,0,0,10,11,0.0707,0.1196,0,0,50,0.4
22-11-2022,Italy,Europe,Omicron BA.2,8,0,,15,13,0.0726,0.0204,0,0.92,26.79,0.933
25-06-2020,Russia,Europe,Original,2,0,1,23,22,0.0734,0.096,,0,47.83,0.495
28-06-2022,Indonesia,Asia,Omicron BA.2,95,1,90,1004,475,0.189,0.0619,,0.2792,32.26,2.226
04-11-2022,France,Europe,Omicron BA.2,1,0,0,10,20,0.0535,0.0281,0,0.92,23.41,1.357
24-04-2020,Argentina,South America,Original,1,0,0,13,9,0.1031,0.1036,,0,68.99,0.426
02-06-2020,Australia,Oceania,Original,6,0,5,64,108,0.0583,0.1605,1,,55.92,0.545
16-08-2020,South Africa,Africa,Original,1,0,0,16,3,0.328,0.1942,,0,45.46,0.711
05-04-2022,Russia,Europe,Omicron BA.2,1,0,0,15,9,0.0974,0.0618,0,0.4055,38.01,1.521
17-11-2021,Japan,Asia,Omicron,7,0,6,125,168,0.0383,0.0592,1,0.4371,26.22,1.702
21-12-2021,Canada,North America,Omicron,30,0,29,381,510,0.0494,0.0374,2,0.4928,44.1,1.365
29-07-2020,South Korea,Asia,Original,20,0,19,307,320,0.0681,0.1067,4,0,70.44,0.4
27-06-2021,Russia,Europe,Delta,2,0,1,30,18,0.109,0.2011,1,0.166,67.44,0.432
02-11-2020,Italy,Europe,Alpha,1,0,0,12,22,0.0398,0.2112,0,0,34.65,0.919
25-07-2020,Indonesia,Asia,Original,17,1,15,188,68,0.2393,0.2026,,,61.37,0.453
01-07-2022,South Korea,Asia,Omicron BA.2,1,0,0,11,23,0.038,0.0475,0,0.7748,28.26,1.638
23-11-2021,Canada,North America,Omicron,1,0,0,15,13,0.0682,0.0467,0,0.4356,29.02,1.416
26-05-2020,Turkey,Asia,Original,3,0,2,32,24,0.1218,0.1985,1,0,46.19,
23-09-2022,Brazil,South America,Omicron BA.2,7,0,6,82,70,0.0948,0.0334,0,0.5547,34.3,
23-04-2021,Pakistan,Asia,Delta,33,1,31,350,132,0.2439,0.1507,8,0.076,64.75,0.68
18-11-2022,Indonesia,Asia,Omicron BA.2,13,0,12,194,39,0.3301,0.078,4,0.3403,28.66,1.547
23-09-2020,Canada,North America,Original,1,0,0,15,24,0.0239,0.0992,0,0,40.29,0.761
24-05-2021,Mexico,North America,Delta,18,1,16,179,144,0.126,0.1986,,0.1153,69.79,0.655
16-05-2021,Indonesia,Asia,Delta,1,0,0,11,3,0.3267,,0,0.0605,51.17,0.976
24-04-2020,Italy,Europe,Original,16,0,14,168,368,0.0426,,3,,76.01,
15-04-2021,Australia,Oceania,Alpha,4,0,3,69,92,0.0474,0.1701,2,0.1342,68.59,
19-08-2020,Turkey,Asia,Original,4,0,3,59,44,0.0981,0.2072,2,0,48.54,0.4
28-02-2022,Argentina,South America,Omicron BA.2,4,0,3,63,24,0.1767,0.0538,,0.3958,33.3,1.365
18-09-2020,France,Europe,Original,1,0,0,15,16,0.0606,0.1453,0,,50.45,0.633
05-03-2021,France,Europe,Alpha,4,0,3,40,72,0.0449,0.1096,1,0.0986,59.61,0.57
12-08-2021,Germany,Europe,Delta,14,0,13,172,210,0.0663,0.2082,8,0.3163,,1.147
10-03-2020,Mexico,North America,Original,2,0,1,34,12,0.18,0.1467,1,0,75.34,0.4
29-01-2021,Argentina,South America,Alpha,1,0,0,13,6,0.1591,0.1336,0,0.0107,73.93,0.4
11-05-2022,Italy,Europe,Omicron BA.2,1,0,0,11,12,0.0778,0.0466,0,0.6895,29.96,1.406
20-05-2022,Brazil,South America,Omicron BA.2,3,0,2,33,24,0.1392,0.0516,,0.4558,23.69,1.604
24-09-2022,UK,Europe,Omicron BA.2,5,0,,71,90,0.0636,0.0237,0,0.8732,15.26,1.954
19-08-2021,Japan,Asia,Delta,5,0,4,51,105,0.0458,0.154,1,0.315,46.91,0.805
09-10-2020,India,Asia,Original,31,0,29,382,217,0.1433,0.1183,,0,,
30-04-2022,Argentina,South America,Omicron BA.2,2,0,,36,14,0.1481,0.0402,0,0.4299,14.92,2.107
26-08-2020,Australia,Oceania,Original,3,0,2,30,54,0.0604,0.1539,0,0,60.85,0.4
08-10-2022,Colombia,South America,Omicron BA.2,5,0,,80,50,0.1142,0.0352,,0.5826,34.3,
15-03-2022,Germany,Europe,Omicron BA.2,1,0,0,16,20,0.0577,0.0307,0,0.5817,20.51,1.688
31-08-2022,Colombia,South America,Omicron BA.2,1,0,0,14,8,0.1302,0.0356,,0.5514,20.94,2.346
27-02-2021,Australia,Oceania,Alpha,1,0,0,11,15,0.0607,0.18,0,0.0723,46.84,0.507
13-03-2021,Russia,Europe,Alpha,11,0,10,111,110,0.0797,0.163,4,0.048,66.68,0.419
08-02-2022,Italy,Europe,Omicron BA.2,5,0,4,75,70,0.0757,0.067,0,0.5507,48.04,1.118
06-03-2021,Germany,Europe,Alpha,3,0,2,35,72,0.0328,0.0997,0,0.0881,54.14,
08-03-2022,Argentina,South America,Omicron,1,0,0,15,7,0.1378,0.0634,,0.3934,41.47,1.115
29-07-2020,Mexico,North America,Original,6,0,5,65,54,0.0975,0.1161,1,0,63.68,0.4
09-07-2020,Turkey,Asia,Original,1,0,0,17,6,0.1634,0.1117,,0,68.06,0.4
27-08-2022,Canada,North America,Omicron BA.2,1,0,,11,20,0.0583,0.0443,0,0.819,7.93,1.352
30-03-2020,Colombia,South America,Original,16,0,14,169,176,0.0976,0.1641,,0,93.51,0.4
04-03-2022,South Africa,Africa,Omicron,1,0,0,14,3,0.3334,0.07,0,0.2284,28.08,1.903
26-04-2022,Mexico,North America,Omicron BA.2,4,0,3,44,24,0.1625,0.0442,,0.419,30.24,2.099
28-11-2020,South Korea,Asia,Alpha,1,0,0,14,20,0.0529,0.1843,0,0,52.72,0.664
16-12-2021,Colombia,South America,Omicron,2,0,1,31,14,0.1364,0.0637,0,0.3276,,1.233
27-06-2020,Turkey,Asia,Original,1,0,0,10,6,0.1691,0.2023,0,0,66.47,0.4
11-10-2021,UK,Europe,Omicron,12,0,11,117,180,0.0766,0.0431,1,0.3912,56.24,0.866
16-12-2022,Colombia,South America,Omicron BA.2,36,0,34,551,252,0.1461,0.0395,5,0.6374,24.84,1.785
26-05-2020,France,Europe,Original,1,0,0,11,19,0.0617,0.2047,0,0,59.74,0.4
14-08-2021,Canada,North America,Delta,3,0,2,37,36,0.079,,0,0.3107,45.97,
23-05-2022,USA,North America,Omicron BA.2,20,0,,362,340,0.034,0.0491,4,0.7038,18.31,2.106
29-03-2022,Canada,North America,Omicron BA.2,2,0,,32,24,0.0794,0.0372,0,0.6536,29.46,1.96
22-07-2020,Germany,Europe,Original,3,0,2,51,51,0.0577,,1,,56.94,
27-10-2020,Spain,Europe,Original,1,0,0,16,17,0.0744,0.1353,0,,40.54,0.818
19-06-2022,Pakistan,Asia,Omicron BA.2,20,0,18,321,100,0.2059,0.0892,7,0.2693,35.49,
05-11-2021,Mexico,North America,Delta,36,2,31,365,288,0.1315,0.1185,6,0.2802,,
12-06-2022,Colombia,South America,Omicron BA.2,21,0,,362,189,0.0937,0.0415,4,0.472,15.32,2.26
08-12-2021,USA,North America,Omicron,8,0,7,79,152,0.0236,0.0823,1,0.4745,39.72,1.505
11-09-2022,Russia,Europe,Omicron BA.2,72,0,69,1103,648,0.1169,0.0608,,0.5492,35.68,1.792
25-03-2022,India,Asia,Omicron BA.2,288,1,279,3160,2304,0.1366,0.059,41,0.4013,18.1,1.624
12-03-2022,Colombia,South America,Omicron,4,0,,51,28,0.1351,0.0553,,0.3919,18.55,2.074
04-07-2020,South Africa,Africa,Original,10,0,9,181,50,0.1966,0.1481,,0,69.62,0.4
25-02-2022,Indonesia,Asia,Omicron,6,0,5,62,18,0.34,0.0864,1,0.202,31.01,1.992
26-08-2020,South Korea,Asia,Original,1,0,0,13,14,0.0745,0.1459,0,,56.95,0.422
10-01-2022,Japan,Asia,Omicron,21,0,19,320,441,0.0476,0.0766,7,0.5209,41.52,1.364
30-06-2022,Indonesia,Asia,Omicron BA.2,24,0,23,333,72,0.3371,,2,0.2603,,2.109
24-05-2020,USA,North America,Original,155,3,148,2679,2015,0.1062,0.1504,63,0,58.94,0.499
19-02-2020,Mexico,North America,Original,6,0,5,96,42,0.1284,0.1245,2,,10.91,1.228
06-06-2021,Turkey,Asia,Delta,8,0,7,141,64,0.12,0.2391,,0.1436,56.36,0.69
23-01-2022,Canada,North America,Omicron,3,0,2,40,54,0.0481,0.0569,0,0.5427,42.42,1.466
28-07-2022,Mexico,North America,Omicron BA.2,93,2,,1411,930,0.0972,0.0406,16,0.5126,27.19,1.849
19-06-2022,Canada,North America,Omicron BA.2,15,0,,250,240,0.0532,0.0398,2,0.7392,18.22,1.184
29-04-2020,South Africa,Africa,Original,2,0,1,26,,,0.0978,0,,92.47,0.4
01-02-2021,Japan,Asia,Alpha,10,0,9,117,140,0.082,0.191,3,0.0462,74.09,0.4
19-08-2022,India,Asia,Omicron BA.2,816,4,759,13722,7344,0.0971,0.0518,180,0.5232,34.17,1.964
28-09-2021,South Korea,Asia,Delta,1,0,0,13,18,0.0652,0.1833,0,0.3759,43.77,0.622
31-08-2020,India,Asia,Original,22,0,20,259,198,0.1008,0.0973,7,0,40.12,0.724
11-12-2021,UK,Europe,Omicron,4,0,3,47,72,0.0466,0.0666,0,0.4749,23.26,1.888
05-01-2021,Colombia,South America,Alpha,1,0,0,15,11,0.1066,0.2073,0,,78.25,0.4
17-08-2021,Indonesia,Asia,Delta,20,1,17,203,100,0.2196,0.2306,,0.1013,65.1,0.727
27-07-2021,Germany,Europe,Delta,61,1,59,1088,1403,0.0559,0.143,28,0.2646,69.51,
27-03-2020,Pakistan,Asia,Original,3,0,2,53,12,0.255,0.1101,1,0,85.86,0.4
21-12-2022,Russia,Europe,Omicron BA.2,10,0,9,115,90,0.1103,0.0331,0,0.652,32.71,1.286
11-09-2020,Indonesia,Asia,Original,13,0,12,149,39,0.332,0.1006,3,,48.25,0.718
23-06-2022,Spain,Europe,Omicron BA.2,1,0,0,16,18,0.061,0.0321,0,0.737,7.75,2.184
24-06-2020,Japan,Asia,Original,2,0,1,20,30,0.0481,0.1075,0,0,64.56,0.4
16-04-2021,Canada,North America,Alpha,1,0,0,10,14,0.0846,0.1229,0,0.1318,67.9,0.4
18-04-2022,Japan,Asia,Omicron BA.2,10,0,9,118,140,0.0859,0.0329,0,0.6498,40.01,1.087
06-05-2021,Pakistan,Asia,Delta,50,2,45,623,150,0.3327,0.255,32,0.0754,79.67,0.4
06-12-2022,Italy,Europe,Omicron BA.2,3,0,,34,63,0.0423,0.032,0,0.92,36.68,1.263
01-04-2022,Russia,Europe,Omicron BA.2,2,0,,21,14,0.1584,0.0388,0,0.4159,24.3,2.321
30-07-2020,Germany,Europe,Original,3,0,2,49,39,0.0859,0.1941,1,0,57.41,0.4
29-01-2020,Spain,Europe,Original,1,0,0,15,,,0.2067,0,0,18.78,0.943
23-10-2020,Mexico,North America,Original,21,1,19,330,231,0.0899,0.1449,8,,55.18,0.4
18-05-2021,Brazil,South America,Delta,123,4,112,1799,1107,0.0992,,,0.113,56.99,0.635
13-03-2020,South Africa,Africa,Original,4,0,3,39,12,0.3256,0.1274,1,0,78.17,0.4
13-09-2020,India,Asia,Original,19,0,18,223,133,0.1407,0.1775,,0,53.82,0.624
28-08-2020,South Africa,Africa,Original,7,0,6,73,35,0.2119,0.0914,1,0,45.6,
11-01-2022,Germany,Europe,Omicron,8,0,7,111,96,0.0856,0.0361,0,0.5042,37.09,0.882
06-05-2021,Argentina,South America,Delta,4,0,3,61,36,0.1048,0.1451,,0.106,73.13,0.446
02-10-2022,South Korea,Asia,Omicron BA.2,90,0,,996,1170,0.0811,0.0227,5,0.8868,21.5,1.073
17-07-2022,Brazil,South America,Omicron BA.2,18,0,,292,198,0.1139,0.0333,1,0.5104,14.77,2.396
25-09-2021,South Africa,Africa,Delta,3,0,2,44,12,0.2575,0.1068,,0.1286,43.81,1.018
07-02-2021,Italy,Europe,Alpha,10,0,9,155,150,0.0736,,5,,62.73,
05-06-2020,South Korea,Asia,Original,4,0,3,49,60,0.064,0.1455,1,,71.82,0.4
19-07-2021,Pakistan,Asia,Delta,47,1,43,594,188,0.2503,,,0.0853,78.62,0.4
31-05-2020,Pakistan,Asia,Original,1,0,0,17,4,0.2535,0.1016,0,,62.12,
04-03-2021,Russia,Europe,Alpha,23,1,20,236,230,0.1055,0.1623,7,0.0444,68.42,0.4
22-04-2020,Colombia,South America,Original,6,0,5,81,,,0.0982,,0,78.39,0.4
28-04-2021,Italy,Europe,Delta,17,0,16,251,391,0.0329,,9,0.153,71.29,0.505
28-10-2021,Australia,Oceania,Omicron,29,0,27,328,435,0.0564,0.0547,5,0.4137,60.18,0.92
27-04-2021,Mexico,North America,Delta,15,1,13,170,90,0.1719,0.1819,4,0.0844,80.54,0.4
09-10-2020,Mexico,North America,Original,2,0,1,31,18,0.1096,0.1525,1,0,44.8,0.652
27-11-2021,USA,North America,Omicron,10,0,9,109,120,0.0779,,0,0.4554,28.76,1.567
31-03-2021,South Korea,Asia,Alpha,7,0,6,111,84,0.0922,0.1064,3,0.1233,81.69,
22-06-2022,Turkey,Asia,Omicron BA.2,8,0,,127,48,0.1717,0.057,,0.4817,26.48,2.359
07-02-2020,Pakistan,Asia,Original,91,2,86,1615,364,0.2638,0.184,,0,16.34,0.869
13-12-2020,Colombia,South America,Alpha,4,0,3,72,32,0.1257,,4,,57.59,0.446
14-11-2021,Spain,Europe,Omicron,2,0,1,32,30,0.0721,0.0562,0,0.4258,33.59,1.189
12-09-2020,Mexico,North America,Original,4,0,3,67,24,0.171,0.1086,,,54.75,0.516
22-11-2020,Brazil,South America,Alpha,5,0,4,71,40,0.1232,0.146,1,,45.79,0.641
24-08-2020,Pakistan,Asia,Original,10,0,9,166,40,0.2546,0.1257,,0,45.58,0.698
15-09-2020,Brazil,South America,Original,14,0,12,219,154,0.0991,0.0912,4,0,45.17,0.535
17-11-2022,Russia,Europe,Omicron BA.2,2,0,,31,22,0.0938,,0,0.6183,31.09,1.488
02-01-2022,Colombia,South America,Omicron,4,0,3,51,36,0.1094,0.0949,,0.3262,51.47,1.43
03-06-2022,South Korea,Asia,Omicron BA.2,6,0,,105,126,0.0476,0.0407,0,0.7192,38.83,1.207
24-07-2021,Turkey,Asia,Delta,42,0,39,763,420,0.1083,0.1151,,0.1966,85.2,0.4
13-06-2022,Germany,Europe,Omicron BA.2,47,0,43,750,752,0.068,0.0457,7,0.7244,42.13,
27-11-2022,UK,Europe,Omicron BA.2,1,0,0,10,14,0.0723,0.0202,0,0.92,34.84,1.216
11-04-2022,Japan,Asia,Omicron BA.2,39,0,,557,624,0.0358,0.0551,6,0.6444,29.9,1.771
06-11-2022,Brazil,South America,Omicron BA.2,4,0,3,40,28,0.1332,0.0636,0,0.5869,19.28,1.33
18-03-2021,Canada,North America,Alpha,2,0,1,34,28,0.0661,,1,0.0874,72.93,0.4
23-12-2021,Canada,North America,Omicron,2,0,1,34,28,0.066,,0,0.4902,35.85,1.564
14-02-2022,Japan,Asia,Omicron BA.2,56,0,53,892,1008,0.0501,0.0638,9,0.5683,46.16,1.291
14-08-2020,Japan,Asia,Original,28,0,26,353,448,0.051,0.1221,7,0,41.18,0.799
16-02-2022,India,Asia,Omicron BA.2,146,1,137,1672,1460,0.0913,0.0378,,0.3583,45.28,1.388
06-10-2020,Germany,Europe,Original,3,0,2,44,51,0.07,,2,0,43.68,0.765
13-02-2020,Italy,Europe,Original,1,0,0,15,,,0.1542,0,0,7.28,0.819
02-11-2022,Colombia,South America,Omicron BA.2,11,0,10,127,99,0.1132,0.0429,1,0.6069,39.3,
05-04-2020,Japan,Asia,Original,1,0,0,15,13,0.0792,,0,0,66.79,0.4
